
Can You Feel The Love Tonight,wj4Y50Q1ffY,1995-1996 Vermilion Sailor Marching Band - Can You Feel The Love Tonight
Can You Feel The Love Tonight,Y1vbmyZaBj8,1995-1996 Vermilion Sailor Marching Band - Can You Feel The Love Tonight
Can't Turn You Loose,yK8JipCqcFo,2002-2003 Vermilion Sailor Marching Band - Can't Turn You Loose - W 8th Grade -Sailor Band Festival
California,jaYrH2zd7D4,1992 Vermilion Sailor Alumni Band - California
Can't Buy Me Love,nrc7Kp3VdTE,2003-2004 Vermilion Sailor Marching Band -- Show 5 - Can't Buy Me Love   Magicial Mystery Tour
Can't Buy Me Love,r7xeWY3qd8U,2004-2005 Vermilion Sailor Marching Band - Can't Buy Me Love-Magicial Mystery - Sailor Band Festival
Can't Buy Me Love,TzPXAQxzqqQ,2014 Vermilion Sailor Alumni Band - Can't Buy Me Love
Can't Wait To Be King,SeMCPJLyJq8,2013-2014 Vermilion Sailor Marching Band  -  I Just Can't Wait To Be King -  Band Review
Celebrate a Celebration,2EGfHhSVSnQ,1997-1998 Vermilion Sailor Marching Band - Celebrate a Celebration - Bay Festival
Celebrate a Celebration,cmtJsojCQHc,1997-1998 Vermilion Sailor Marching Band - Celebrate a Celebration - V Firelands
Celebrate a Celebration,vk6ZdlOuwwk,1997-1998 Vermilion Sailor Marching Band - Celebrate a Celebration - Stand and Play
Celebrate a Celebration,o_ZtTyueemQ,2003-2004 Vermilion Sailor Marching Band - Second Source  - Show 2 - Celebrate A Celebration
Celebrate a Celebration,zJPCbEzmnrc,2003-2004 Vermilion Sailor Marching Band - Celebrate The Celebration
Chameleon,Ln0YbwVlRdM,1998-1999 Vermilion Sailor Marching Band - Chameleon
Charge,YvawjvHeyWE,1992-1993 Vermilion Sailor Marching Band - Charge - In the Stands - V John Adams
Charleston,X3F8NF6mg6I,1996 Vermilion Sailor Alumni Band - Charleston - Vermilion Band Festival
Cherish,FC0UnJXjlSA,1986-1987 Vermilion Sailor Marching Band - Cherish - Elyria Band Festival
Cherish,z24k61PIYps,1986-1987 Vermilion Sailor Marching Band - Cherish - Vermilion Marching Band Festival
China Grove,_Ww4MiFVYE8,1990-1991 Vermilion Sailor Marching Band - China Grove
China Grove,TscCHdr1aFc,1990-1991 Vermilion Sailor Marching Band - China Grove - Second Festival Show
China Grove,q4SY0F1sPKg,1990-1991 Vermilion Sailor Marching Band - China Grove - Festival Show
China Grove,cty4J3tmRUI,1991-1992 Vermilion Sailor Marching Band - China Grove - In Stands - First Home Game
China Grove,_UC-816f2YY,1999-2000 Vermilion Sailor Marching Band  - Vermilion Band Festival - China Grove
China Grove,mBa-UvnRD3Y,1999-2000 Vermilion Sailor Marching Band  - Preseason - China Grove
China Grove,kZTwj_RILh8,1999-2000 Vermilion Sailor Marching Band - Band In Review Concert - China Grove
China Grove,yPF7JL2rjl0,2003 Vermilion Sailor Alumni Band -  Second Source - China Grove
China Grove,SsPcxLvD32o,2003 Vermilion Sailor Alumni Band -  Second Source - China Grove
China Grove,q9qR4QxzYiY,2005-2006 Vermilion Sailor Marching Band - Vermilion Sailor Band Festival - China Grove
China Grove,dJvZOpKskI8,2006-2007 Vermilion Sailor Marching Band - China Grove Portion - Senior Show
China Grove,Y67vVIh4FrA,2022 Vermilion Sailor Alumni Band - China Grove
Chorus Line,IAUUM3ppwgc,1989-1990 Vermilion Sailor Marching Band - Chorus Line - Vermilion Band Festival
Chorus Line,8n547YdayK8,1991-1992 Vermilion Sailor Marching Band - Chorus Line - Senior Night
The Circle of Life,_epJV2Ff7Tk,2018-2019 Vermilion Sailor Marching  Band  - Circle of Life - Second Copy
The Circle of Life,g1p4zvv9Xbc,2018-2019 Vermilion Sailor Marching  Band  - Circle of Life
The Circle of Life,zX0geG7PcJ0,2018-2019 Vermilion Sailor Marching  Band  - Full Festival Show - Circle of Life
The Circle of Life,3rCQ1VPV1ZU,2018-2019 Vermilion Sailor Marching  Band  - 8-31-18 - Circle of Life
The Contender,Rbp9WGJL7AI,2000-2001 Vermilion Sailor Marching Band - The Contender
The Contender,UqUmpxFlxmY,2000-2001 Vermilion Sailor Marching Band - The Contender - Vermilion Sailor Band Festival
The Contender,3vkSGH8T_rQ,2000-2001 Vermilion Sailor Marching Band - The Contender
Coke Is It,Bp1g82lQimo,1986-1987 Vermilion Sailor Marching Band - Coke Is It - Elyria Band Festival
Coke Is It,ZLi_zK5X5EY,1986-1987 Vermilion Sailor Marching Band - Coke Is It - Vermilion Marching Band Festival
Come Out and Play,29kXXDL8-CE,2008 Vermilion Sailor Alumni Band - Come Out And Play
Come Sail Away,8bxw-fxlj3A,1996-1997 Vermilion High School Marching Band - Come Sail Away - Rittman
Come Sail Away,AHBB07eiHcI,1996-1997 Vermilion High School Marching Band - Come Sail Away - Vermilion Marching Band Festival
Come Sail Away,2yZl3zCd9KE,2003-2004 Vermilion Sailor Marching Band - Second Source  - Show 1 - Come Sail Away
Come Sail Away,wbfduyj9HLA,2003-2004 Vermilion Sailor Marching Band - Come Sail Away
Conga,rYLSbPICoZY,1986-1987 Vermilion Sailor Marching Band - Conga - Play Off Game - Willoughby
Conga,zzA15h0IxF0,1986-1987 Vermilion Sailor Marching Band - Conga - Elyria Band Festival
Conga,mWCwYujS_RQ,1986-1987 Vermilion Sailor Marching Band - Conga - Vermilion High School Stadium
Conga,WKKYovNyE_U,1986-1987 Vermilion Sailor Marching Band - Conga - Vermilion Marching Band Festival
Conga,2-b2IokUmXo,1991-1992 Vermilion Sailor Marching Band - Conga - Vermilion Sailor Band Festival
Conga,2uThMT-8cgQ,1991-1992 Vermilion Sailor Marching Band - Conga - Judge Commentary - Lakeview
Conga,DTzSul3OHHo,1991-1992 Vermilion Sailor Marching Band - Conga - First Home Game
Cotton Eye Joe,R0Su9CI6VB4,2022-2023 Vermilion Sailor Marching Band - Cotton Eye Joe - 9-23-2022
Crazy In Love,M84KCqsth0w,2023-2024 Vermilion Sailor Marching Band  - Crazy in Love - 8-25-2023
Crazy In Love,E1d8UJ6QFYs,2023-2024 Vermilion Sailor Marching Band  - Crazy In Love - 8-18-2023
Crazy Train,sUwFLLMviXI,2003-2004 Vermilion Sailor Marching Band - Second Source  - Senior Show - Crazy Train
Crazy Train,x5RLbXU8uPc,2003-2004 Vermilion Sailor Marching Band - Second Source  -  Senior Show - Crazy Train
Crazy Train,OX6pzGSKddc,2003-2004 Vermilion Sailor Marching Band  - Crazy Train - Senior Show
Creep,qbINtn0qhdc,2013-2014  Vermilion Sailor Marching Band - Creep
